Количество видимых спутников	Время, с	Кол-во
0	15
765420860,11
765420870,11
765420880,11
765420890,11
765420900,11
765420910,11
765420920,11
765420930,11
765420940,11
765420950,11
765420960,11
765420970,11
765420980,11
765420990,11
765421000,11
765421010,11
765421020,10
765421030,10
765421040,10
765421050,10
765421060,10
765421070,10
765421080,10
765421090,10
765421100,9
765421110,9
765421120,9
765421130,9
765421140,9
765421150,9
765421160,9
765421170,9
765421180,9
765421190,10
765421200,10
765421210,10
765421220,10
765421230,10
765421240,10
765421250,10
765421260,10
765421270,10
765421280,10
765421290,10
765421300,10
765421310,10
765421320,10
765421330,10
765421340,9
765421350,9
765421360,9
765421370,9
765421380,9
765421390,9
765421400,9
765421410,8
765421420,9
765421430,8
765421440,8
765421450,8
765421460,8
765421470,8
765421480,8
765421490,8
765421500,8
765421510,7
765421520,8
765421530,8
765421540,8
765421550,9
765421560,8
765421570,8
765421580,8
765421590,8
765421600,8
765421610,8
765421620,8
765421630,8
765421640,8
765421650,8
765421660,8
765421670,7
765421680,7
765421690,7
765421700,7
765421710,7
765421720,7
765421730,7
765421740,8
765421750,8
765421760,8
765421770,7
765421780,7
765421790,8
765421800,7
765421810,8
765421820,8
765421830,8
765421840,9
765421850,9
765421860,9
765421870,9
765421880,10
765421890,10
765421900,9
765421910,10
765421920,10
765421930,10
765421940,10
765421950,10
765421960,10
765421970,10
765421980,10
765421990,11
765422000,9
765422010,10
765422020,9
765422030,10
765422040,9
765422050,9
765422060,9
765422070,9
765422080,9
765422090,9
765422100,9
765422110,9
765422120,9
765422130,9
765422140,9
765422150,9
765422160,9
765422170,9
765422180,9
765422190,9
765422200,9
765422210,9
765422220,9
765422230,9
765422240,9
765422250,9
765422260,9
765422270,8
765422280,8
765422290,8
765422300,9
765422310,9
765422320,10
765422330,9
765422340,9
765422350,9
765422360,8
765422370,8
765422380,8
765422390,9
765422400,9
765422410,9
765422420,9
765422430,10
765422440,10
765422450,11
765422460,11
765422470,11
765422480,9
765422490,10
765422500,11
765422510,11
765422520,11
765422530,10
765422540,10
765422550,8
765422560,8
765422570,8
765422580,8
765422590,9
765422600,9
765422610,9
765422620,9
765422630,8
765422640,9
765422650,9
765422660,9
765422670,9
765422680,9
765422690,8
765422700,9
765422710,9
765422720,9
765422730,9
765422740,9
765422750,9
765422760,10
765422770,10
765422780,10
765422790,10
765422800,10
765422810,10
765422820,10
765422830,10
765422840,9
765422850,9
765422860,9
765422870,9
765422880,9
765422890,8
765422900,8
765422910,8
765422920,8
765422930,8
765422940,8
765422950,8
765422960,8
765422970,9
765422980,9
765422990,8
765423000,8
765423010,8
765423020,9
765423030,8
765423040,8
765423050,8
765423060,8
765423070,8
765423080,8
765423090,8
765423100,8
765423110,7
765423120,7
765423130,9
765423140,10
765423150,10
765423160,9
765423170,10
765423180,9
765423190,9
765423200,9
765423210,9
765423220,9
765423230,10
765423240,10
765423250,10
765423260,10
765423270,9
765423280,9
765423290,9
765423300,9
765423310,8
765423320,9
765423330,9
765423340,9
765423350,9
765423360,9
765423370,9
765423380,9
765423390,8
765423400,8
765423410,9
765423420,9
765423430,8
765423440,8
765423450,9
765423460,9
765423470,9
765423480,9
765423490,9
765423500,10
765423510,9
765423520,9
765423530,9
765423540,9
765423550,10
765423560,10
765423570,10
765423580,11
765423590,10
765423600,10
765423610,10
765423620,10
765423630,10
765423640,10
765423650,10
765423660,10
765423670,10
765423680,10
765423690,9
765423700,9
765423710,9
765423720,9
765423730,9
765423740,9
765423750,9
765423760,9
765423770,9
765423780,8
765423790,8
765423800,8
765423810,8
765423820,10
765423830,10
765423840,10
765423850,11
765423860,11
765423870,10
765423880,10
765423890,10
765423900,10
765423910,10
765423920,10
765423930,10
765423940,10
765423950,10
765423960,9
765423970,9
765423980,9
765423990,10
765424000,10
765424010,10
765424020,10
765424030,10
765424040,10
765424050,9
765424060,9
765424070,9
765424080,9
765424090,9
765424100,9
765424110,9
765424120,9
765424130,8
765424140,8
765424150,8
765424160,8
765424170,7
765424180,7
765424190,7
765424200,7
765424210,7
765424220,7
765424230,7
765424240,8
765424250,8
765424260,8
765424270,8
765424280,8
765424290,8
765424300,8
765424310,8
765424320,8
765424330,9
765424340,9
765424350,9
765424360,9
765424370,9
765424380,8
765424390,8
765424400,8
765424410,8
765424420,8
765424430,8
765424440,8
765424450,9
765424460,8
765424470,7
765424480,8
765424490,8
765424500,7
765424510,8
765424520,8
765424530,8
765424540,8
765424550,7
765424560,7
765424570,7
765424580,9
765424590,9
765424600,9
765424610,9
765424620,9
765424630,10
765424640,10
765424650,10
765424660,10
765424670,9
765424680,10
765424690,10
765424700,10
765424710,10
765424720,10
765424730,10
765424740,10
765424750,10
765424760,10
765424770,10
765424780,10
765424790,10
765424800,10
765424810,10
765424820,11
765424830,11
765424840,11
765424850,11
765424860,11
765424870,11
765424880,10
765424890,10
765424900,10
765424910,10
765424920,10
765424930,10
765424940,9
765424950,10
765424960,10
765424970,10
765424980,10
765424990,10
765425000,10
765425010,10
765425020,10
765425030,10
765425040,10
765425050,10
765425060,9
765425070,8
765425080,10
765425090,10
765425100,10
765425110,10
765425120,10
765425130,10
765425140,10
765425150,9
765425160,9
765425170,9
765425180,8
765425190,8
765425200,8
765425210,8
765425220,8
765425230,8
765425240,8
765425250,8
765425260,8
765425270,9
765425280,9
765425290,9
765425300,9
765425310,9
765425320,9
765425330,9
765425340,9
765425350,9
765425360,9
765425370,9
765425380,9
765425390,9
765425400,9
765425410,9
765425420,9
765425430,9
765425440,9
765425450,9
765425460,9
765425470,9
765425480,9
765425490,9
765425500,9
765425510,9
765425520,9
765425530,9
765425540,9
765425550,9
765425560,9
765425570,9
765425580,9
765425590,10
765425600,10
765425610,10
765425620,10
765425630,10
765425640,10
765425650,9
765425660,9
765425670,9
765425680,8
765425690,9
765425700,9
765425710,8
765425720,8
765425730,8
765425740,8
765425750,8
765425760,8
765425770,9
765425780,9
765425790,9
765425800,10
765425810,10
765425820,9
765425830,10
765425840,9
765425850,10
765425860,11
765425870,11
765425880,11
765425890,10
765425900,11
765425910,11
765425920,10
765425930,9
765425940,11
765425950,10
765425960,10
765425970,9
765425980,10
765425990,10
765426000,10
765426010,9
765426020,9
765426030,9
765426040,9
765426050,9
765426060,10
765426070,9
765426080,9
765426090,8
765426100,8
765426110,8
765426120,8
765426130,9
765426140,9
765426150,9
765426160,9
765426170,10
765426180,11
765426190,10
765426200,10
765426210,10
765426220,10
765426230,10
765426240,10
765426250,10
765426260,10
765426270,10
765426280,10
765426290,10
765426300,10
765426310,10
765426320,10
765426330,10
765426340,10
765426350,10
765426360,10
765426370,10
765426380,10
765426390,11
765426400,11
765426410,11
765426420,11
765426430,11
765426440,11
765426450,11
765426460,11
765426470,11
765426480,11
765426490,11
765426500,11
765426510,11
765426520,11
765426530,11
765426540,11
765426550,11
765426560,11
765426570,11
765426580,10
765426590,11
765426600,11
765426610,11
765426620,11
765426630,10
765426640,10
765426650,11
765426660,10
765426670,10
765426680,10
765426690,10
765426700,10
765426710,10
765426720,10
765426730,10
765426740,10
765426750,10
765426760,10
765426770,11
765426780,11
765426790,11
765426800,11
765426810,10
765426820,10
765426830,10
765426840,10
765426850,10
765426860,10
765426870,10
765426880,10
765426890,10
765426900,10
765426910,10
765426920,10
765426930,10
765426940,10
765426950,10
765426960,10
765426970,9
765426980,8
765426990,8
765427000,7
765427010,7
765427020,8
765427030,8
765427040,8
765427050,8
765427060,8
765427070,8
765427080,8
765427090,9
765427100,9
765427110,9
765427120,9
765427130,9
765427140,9
765427150,9
765427160,9
765427170,9
765427180,9
765427190,9
765427200,9
765427210,9
765427220,9
765427230,9
765427240,10
765427250,10
765427260,10
765427270,10
765427280,9
765427290,10
765427300,9
765427310,9
765427320,9
765427330,8
765427340,8
765427350,8
765427360,8
765427370,8
765427380,8
765427390,8
765427400,8
765427410,8
765427420,8
765427430,7
765427440,7
765427450,7
765427460,7
765427470,7
765427480,7
765427490,7
765427500,7
765427510,7
765427520,7
765427530,7
765427540,7
765427550,8
765427560,8
765427570,8
765427580,7
765427590,7
765427600,7
765427610,7
765427620,7
765427630,8
765427640,8
765427650,8
765427660,8
765427670,8
765427680,8
765427690,8
765427700,9
765427710,9
765427720,9
765427730,9
765427740,9
765427750,9
765427760,9
765427770,8
765427780,9
765427790,9
765427800,9
765427810,9
765427820,10
765427830,10
765427840,10
765427850,10
765427860,10
765427870,10
765427880,10
765427890,10
765427900,10
765427910,10
765427920,10
765427930,10
765427940,10
765427950,10
765427960,10
765427970,10
765427980,10
765427990,10
765428000,10
765428010,10
765428020,10
765428030,10
765428040,10
765428050,10
765428060,10
765428070,11
765428080,11
765428090,10
765428100,10
765428110,10
765428120,10
765428130,10
765428140,10
765428150,10
765428160,10
765428170,10
765428180,10
765428190,10
765428200,10
765428210,10
765428220,9
765428230,9
765428240,9
765428250,10
765428260,10
765428270,8
765428280,8
765428290,8
765428300,9
765428310,9
765428320,8
765428330,8
765428340,8
765428350,8
765428360,8
765428370,8
765428380,8
765428390,8
765428400,8
765428410,9
765428420,8
765428430,8
765428440,8
765428450,8
765428460,9
765428470,9
765428480,9
765428490,8
765428500,8
765428510,8
765428520,8
765428530,8
765428540,8
765428550,8
765428560,8
765428570,8
765428580,9
765428590,9
765428600,9
765428610,9
765428620,9
765428630,9
765428640,9
765428650,9
765428660,9
765428670,9
765428680,9
765428690,9
765428700,9
765428710,9
765428720,9
765428730,10
765428740,10
765428750,10
765428760,10
765428770,10
765428780,10
765428790,10
765428800,10
765428810,10
765428820,10
765428830,10
765428840,10
765428850,10
765428860,10
765428870,10
765428880,10
765428890,10
765428900,10
765428910,10
765428920,10
765428930,10
765428940,10
765428950,10
765428960,10
765428970,10
765428980,10
765428990,10
765429000,10
765429010,10
765429020,10
765429030,10
765429040,10
765429050,10
765429060,9
765429070,9
765429080,9
765429090,9
765429100,9
765429110,8
765429120,9
765429130,9
765429140,9
765429150,9
765429160,8
765429170,9
765429180,9
765429190,9
765429200,8
765429210,8
765429220,9
765429230,9
765429240,9
765429250,9
765429260,9
765429270,9
765429280,10
765429290,10
765429300,10
765429310,10
765429320,10
765429330,11
765429340,10
765429350,11
765429360,9
765429370,9
765429380,8
765429390,9
765429400,8
765429410,8
765429420,9
765429430,8
765429440,8
765429450,9
765429460,9
765429470,9
765429480,9
765429490,10
765429500,10
765429510,10
765429520,10
765429530,10
765429540,10
765429550,10
765429560,10
765429570,10
765429580,10
765429590,10
765429600,10
765429610,10
765429620,10
765429630,10
765429640,10
765429650,10
765429660,10
765429670,10
765429680,10
765429690,10
765429700,10
765429710,10
765429720,11
765429730,10
765429740,9
765429750,10
765429760,10
765429770,10
765429780,10
765429790,10
765429800,10
765429810,10
765429820,10
765429830,10
765429840,8
765429850,8
765429860,9
765429870,9
765429880,9
765429890,9
765429900,9
765429910,9
765429920,9
765429930,9
765429940,9
765429950,9
765429960,9
765429970,9
765429980,9
765429990,8
765430000,8
765430010,8
765430020,8
765430030,8
765430040,8
765430050,8
765430060,8
765430070,8
765430080,8
765430090,8
765430100,8
765430110,8
765430120,8
765430130,8
765430140,8
765430150,8
765430160,7
765430170,7
765430180,7
765430190,7
765430200,7
765430210,7
765430220,7
765430230,7
765430240,7
765430250,7
765430260,7
765430270,7
765430280,7
765430290,7
765430300,8
765430310,8
765430320,8
765430330,8
765430340,8
765430350,8
765430360,8
765430370,8
765430380,8
765430390,8
765430400,7
765430410,8
765430420,8
765430430,8
765430440,8
765430450,9
765430460,9
765430470,8
765430480,8
765430490,8
765430500,8
765430510,9
765430520,8
765430530,9
765430540,9
765430550,9
765430560,9
765430570,9
765430580,9
765430590,8
765430600,9
765430610,9
765430620,9
765430630,9
765430640,9
765430650,8
765430660,8
765430670,8
765430680,9
765430690,9
765430700,8
765430710,8
765430720,8
765430730,8
765430740,8
765430750,8
765430760,8
765430770,8
765430780,8
765430790,9
765430800,9
765430810,9
765430820,9
765430830,9
765430840,9
765430850,9
765430860,9
765430870,9
765430880,9
765430890,9
765430900,8
765430910,8
765430920,8
765430930,8
765430940,8
765430950,8
765430960,8
765430970,8
765430980,8
765430990,8
765431000,8
765431010,8
765431020,8
765431030,8
765431040,8
765431050,8
765431060,8
765431070,7
765431080,8
765431090,8
765431100,8
765431110,8
765431120,8
765431130,9
765431140,9
765431150,8
765431160,8
765431170,8
765431180,8
765431190,8
765431200,8
765431210,8
765431220,8
765431230,8
765431240,9
765431250,9
765431260,9
765431270,9
765431280,9
765431290,9
765431300,9
765431310,9
765431320,9
765431330,9
765431340,10
765431350,10
765431360,10
765431370,10
765431380,10
765431390,10
765431400,10
765431410,10
765431420,10
765431430,10
765431440,10
765431450,10
765431460,10
765431470,10
765431480,10
765431490,10
765431500,10
765431510,10
765431520,9
765431530,10
765431540,10
765431550,11
765431560,11
765431570,11
765431580,10
765431590,11
765431600,11
765431610,10
765431620,10
765431630,10
765431640,10
765431650,10
765431660,10
765431670,10
765431680,10
765431690,10
765431700,10
765431710,10
765431720,10
765431730,10
765431740,10
765431750,10
765431760,11
765431770,11
765431780,11
765431790,11
765431800,11
765431810,11
765431820,11
765431830,11
765431840,11
765431850,11
765431860,11
765431870,11
765431880,11
765431890,11
765431900,11
765431910,11
765431920,11
765431930,11
765431940,11
765431950,11
765431960,11
765431970,11
765431980,11
765431990,11
765432000,11
765432010,11
765432020,11
765432030,11
765432040,11
765432050,11
765432060,11
765432070,11
765432080,11
765432090,10
765432100,10
765432110,10
765432120,10
765432130,10
765432140,10
765432150,10
765432160,10
765432170,10
765432180,10
765432190,10
765432200,10
765432210,10
765432220,10
765432230,10
765432240,10
765432250,9
765432260,10
765432270,10
765432280,9
765432290,9
765432300,9
765432310,9
765432320,8
765432330,8
765432340,8
765432350,8
765432360,8
765432370,8
765432380,7
765432390,8
765432400,8
765432410,7
765432420,7
765432430,7
765432440,7
765432450,9
765432460,9
765432470,8
765432480,8
765432490,8
765432500,7
765432510,7
765432520,7
765432530,7
765432540,7
765432550,7
765432560,7
765432570,8
765432580,8
765432590,8
765432600,8
765432610,8
765432620,8
765432630,8
765432640,8
765432650,8
765432660,8
765432670,8
765432680,8
765432690,8
765432700,8
765432710,9
765432720,9
765432730,9
765432740,8
765432750,8
765432760,8
765432770,8
765432780,8
765432790,8
765432800,8
765432810,7
765432820,7
765432830,8
765432840,8
765432850,8
765432860,8
765432870,8
765432880,8
765432890,8
765432900,8
765432910,8
765432920,8
765432930,8
765432940,7
765432950,8
765432960,8
765432970,8
765432980,7
765432990,8
765433000,7
765433010,6
765433020,8
765433030,7
765433040,7
765433050,6
765433060,6
765433070,6
765433080,6
765433090,7
765433100,8
765433110,8
765433120,8
765433130,8
765433140,8
765433150,8
765433160,8
765433170,7
765433180,8
765433190,7
765433200,8
765433210,7
765433220,6
765433230,8
765433240,8
765433250,8
765433260,8
765433270,8
765433280,9
765433290,9
765433300,9
765433310,9
765433320,9
765433330,9
765433340,9
765433350,9
765433360,9
765433370,9
765433380,9
765433390,8
765433400,8
765433410,8
765433420,8
765433430,8
765433440,7
765433450,6
765433460,6
765433470,7
765433480,8
765433490,8
765433500,8
765433510,8
765433520,9
765433530,9
765433540,9
765433550,9
765433560,9
765433570,9
765433580,9
765433590,9
765433600,9
765433610,9
765433620,9
765433630,10
765433640,10
765433650,10
765433660,9
765433670,10
765433680,10
765433690,10
765433700,10
765433710,10
765433720,10
765433730,10
765433740,8
765433750,8
765433760,8
765433770,8
765433780,8
765433790,8
765433800,9
765433810,9
765433820,9
765433830,9
765433840,9
765433850,9
765433860,9
765433870,9
765433880,9
765433890,9
765433900,9
765433910,9
765433920,9
765433930,9
765433940,9
765433950,9
765433960,9
765433970,9
765433980,9
765433990,9
765434000,9
765434010,9
765434020,10
765434030,9
765434040,10
765434050,11
765434060,11
765434070,11
765434080,11
765434090,11
765434100,11
765434110,11
765434120,11
765434130,11
765434140,11
765434150,11
765434160,11
765434170,11
765434180,11
765434190,11
765434200,11
765434210,11
765434220,11
765434230,11
765434240,11
765434250,10
765434260,10
765434270,10
765434280,10
765434290,10
765434300,10
765434310,10
765434320,10
765434330,9
765434340,9
765434350,8
765434360,9
765434370,9
765434380,9
765434390,9
765434400,9
765434410,9
765434420,9
765434430,9
765434440,10
765434450,10
765434460,10
765434470,10
765434480,9
765434490,9
765434500,10
765434510,10
765434520,10
765434530,10
765434540,9
765434550,10
765434560,10
765434570,10
765434580,9
765434590,9
765434600,9
765434610,10
765434620,10
765434630,10
765434640,9
765434650,10
765434660,9
765434670,9
765434680,10
765434690,9
765434700,9
765434710,9
765434720,9
765434730,9
765434740,9
765434750,9
765434760,9
765434770,9
765434780,9
765434790,9
765434800,9
765434810,9
765434820,9
765434830,9
765434840,9
765434850,9
765434860,9
765434870,9
765434880,9
765434890,10
765434900,10
765434910,9
765434920,9
765434930,9
765434940,9
765434950,9
765434960,9
765434970,9
765434980,10
765434990,10
765435000,9
765435010,10
765435020,9
765435030,10
765435040,9
765435050,9
765435060,9
765435070,9
765435080,9
765435090,9
765435100,9
765435110,10
765435120,9
765435130,9
765435140,9
765435150,9
765435160,10
765435170,10
765435180,10
765435190,10
765435200,10
765435210,10
765435220,10
765435230,10
765435240,10
765435250,10
765435260,11
765435270,11
765435280,11
765435290,11
765435300,11
765435310,10
765435320,10
765435330,9
765435340,9
765435350,9
765435360,9
765435370,9
765435380,9
765435390,9
765435400,9
765435410,9
765435420,9
765435430,9
765435440,9
765435450,9
765435460,9
765435470,9
765435480,8
765435490,9
765435500,8
765435510,8
765435520,8
765435530,8
765435540,8
765435550,8
765435560,8
765435570,8
765435580,8
765435590,8
765435600,8
765435610,8
765435620,8
765435630,8
765435640,8
765435650,8
765435660,8
765435670,8
765435680,8
765435690,8
765435700,7
765435710,7
765435720,7
765435730,8
765435740,8
765435750,8
765435760,8
765435770,8
765435780,8
765435790,9
765435800,10
765435810,10
765435820,10
765435830,10
765435840,10
765435850,10
765435860,10
765435870,10
765435880,10
765435890,10
765435900,10
765435910,10
765435920,10
765435930,10
765435940,10
765435950,10
765435960,10
765435970,9
765435980,10
765435990,10
765436000,10
765436010,10
765436020,10
765436030,9
765436040,10
765436050,10
765436060,11
765436070,11
765436080,11
765436090,11
765436100,11
765436110,10
765436120,11
765436130,11
765436140,11
765436150,11
765436160,11
765436170,11
765436180,10
765436190,10
765436200,10
765436210,10
765436220,10
765436230,10
765436240,10
765436250,10
765436260,10
765436270,10
765436280,10
765436290,10
765436300,10
765436310,10
765436320,10
765436330,10
765436340,10
765436350,10
765436360,10
765436370,10
765436380,10
765436390,10
765436400,10
765436410,10
765436420,10
765436430,10
765436440,10
765436450,10
765436460,10
765436470,10
765436480,10
765436490,10
765436500,10
765436510,9
765436520,9
765436530,9
765436540,9
765436550,9
765436560,10
765436570,10
765436580,9
765436590,10
765436600,8
765436610,9
765436620,9
765436630,9
765436640,9
765436650,8
765436660,8
765436670,8
765436680,7
765436690,9
765436700,9
765436710,8
765436720,9
765436730,9
765436740,9
765436750,9
765436760,9
765436770,7
765436780,7
765436790,8
765436800,8
765436810,9
765436820,8
765436830,8
765436840,8
765436850,8
765436860,8
765436870,8
765436880,8
765436890,8
765436900,8
765436910,8
765436920,8
765436930,8
765436940,8
765436950,8
765436960,8
765436970,8
765436980,7
765436990,7
765437000,7
765437010,8
765437020,8
765437030,7
765437040,7
765437050,8
765437060,8
765437070,8
765437080,8
765437090,8
765437100,8
765437110,9
765437120,9
765437130,10
765437140,10
765437150,10
765437160,10
765437170,10
765437180,10
765437190,10
765437200,10
765437210,10
765437220,10
765437230,10
765437240,10
765437250,10
765437260,10
765437270,10
765437280,10
765437290,10
765437300,10
765437310,10
765437320,10
765437330,10
765437340,10
765437350,10
765437360,10
765437370,10
765437380,10
765437390,10
765437400,10
765437410,10
765437420,10
765437430,10
765437440,10
765437450,9
765437460,9
765437470,9
765437480,9
765437490,9
765437500,10
765437510,10
765437520,10
765437530,10
765437540,10
765437550,10
765437560,10
765437570,10
765437580,10
765437590,11
765437600,11
765437610,11
765437620,11
765437630,11
765437640,11
765437650,11
765437660,11
765437670,11
765437680,11
765437690,11
765437700,11
765437710,11
765437720,11
765437730,11
765437740,11
765437750,10
765437760,10
765437770,10
765437780,9
765437790,9
765437800,9
765437810,9
765437820,9
765437830,9
765437840,9
765437850,10
765437860,10
765437870,10
765437880,10
765437890,10
765437900,10
765437910,10
765437920,10
765437930,9
765437940,9
765437950,9
765437960,10
765437970,10
765437980,10
765437990,10
765438000,10
765438010,10
765438020,10
765438030,10
765438040,10
765438050,10
765438060,10
765438070,10
765438080,10
765438090,10
765438100,10
765438110,10
765438120,10
765438130,10
765438140,10
765438150,10
765438160,9
765438170,10
765438180,10
765438190,9
765438200,9
765438210,9
765438220,9
765438230,9
765438240,9
765438250,8
765438260,8
765438270,8
765438280,9
765438290,8
765438300,7
765438310,7
765438320,6
765438330,6
765438340,6
765438350,7
765438360,8
765438370,8
765438380,7
765438390,8
765438400,7
765438410,6
765438420,7
765438430,7
765438440,7
765438450,7
765438460,7
765438470,8
765438480,8
765438490,8
765438500,8
765438510,8
765438520,8
765438530,8
765438540,8
765438550,8
765438560,8
765438570,8
765438580,8
765438590,8
765438600,8
765438610,8
765438620,8
765438630,8
765438640,8
765438650,8
765438660,8
765438670,8
765438680,8
765438690,8
765438700,8
765438710,9
765438720,9
765438730,9
765438740,9
765438750,9
765438760,9
765438770,10
765438780,9
765438790,9
765438800,10
765438810,10
765438820,10
765438830,10
765438840,10
765438850,10
765438860,10
765438870,10
765438880,10
765438890,10
765438900,10
765438910,10
765438920,10
765438930,10
765438940,10
765438950,11
765438960,11
765438970,11
765438980,11
765438990,11
765439000,11
765439010,11
765439020,10
765439030,10
765439040,9
765439050,9
765439060,9
765439070,9
765439080,9
765439090,8
765439100,10
765439110,10
765439120,10
765439130,9
765439140,9
765439150,9
765439160,9
765439170,9
765439180,10
765439190,11
765439200,11
765439210,11
765439220,11
765439230,11
765439240,11
765439250,11
765439260,10
765439270,11
765439280,11
765439290,11
765439300,10
765439310,9
765439320,9
765439330,9
765439340,9
765439350,9
765439360,9
765439370,9
765439380,9
765439390,8
765439400,9
765439410,10
765439420,10
765439430,9
765439440,9
765439450,9
765439460,9
765439470,9
765439480,9
765439490,9
765439500,9
765439510,9
765439520,9
765439530,8
765439540,8
765439550,8
765439560,8
765439570,8
765439580,8
765439590,8
765439600,8
765439610,8
765439620,9
765439630,8
765439640,8
765439650,8
765439660,8
765439670,8
765439680,8
765439690,8
765439700,8
765439710,8
765439720,8
765439730,8
765439740,8
765439750,9
765439760,10
765439770,10
765439780,10
765439790,10
765439800,10
765439810,10
765439820,10
765439830,9
765439840,9
765439850,10
765439860,10
765439870,9
765439880,9
765439890,10
765439900,10
765439910,9
765439920,9
765439930,9
765439940,9
765439950,9
765439960,9
765439970,9
765439980,9
765439990,10
765440000,10
765440010,9
765440020,9
765440030,9
765440040,9
765440050,9
765440060,9
765440070,9
765440080,9
765440090,9
765440100,10
765440110,11
765440120,11
765440130,11
765440140,11
765440150,11
765440160,11
765440170,11
765440180,11
765440190,11
765440200,11
765440210,11
765440220,10
765440230,10
765440240,10
765440250,10
765440260,10
765440270,10
765440280,10
765440290,10
765440300,10
765440310,10
765440320,10
765440330,10
765440340,10
765440350,10
765440360,10
765440370,10
765440380,10
765440390,10
765440400,10
765440410,11
765440420,11
765440430,11
765440440,11
765440450,11
765440460,10
765440470,10
765440480,10
765440490,11
765440500,11
765440510,11
765440520,10
765440530,9
765440540,10
765440550,10
765440560,10
765440570,11
765440580,9
765440590,9
765440600,9
765440610,9
765440620,9
765440630,9
765440640,9
765440650,9
765440660,9
765440670,9
765440680,9
765440690,10
765440700,10
765440710,10
765440720,10
765440730,10
765440740,10
765440750,10
765440760,10
765440770,10
765440780,10
765440790,10
765440800,11
765440810,11
765440820,11
765440830,11
765440840,11
765440850,11
765440860,11
765440870,11
765440880,11
765440890,11
765440900,11
765440910,11
765440920,11
765440930,11
765440940,11
765440950,11
765440960,11
765440970,11
765440980,11
765440990,11
765441000,11
765441010,11
765441020,11
765441030,11
765441040,11
765441050,10
765441060,10
765441070,9
765441080,10
765441090,9
765441100,10
765441110,9
765441120,9
765441130,9
765441140,10
765441150,10
765441160,10
765441170,10
765441180,9
765441190,9
765441200,10
765441210,10
765441220,10
765441230,9
765441240,10
765441250,9
765441260,9
765441270,9
765441280,9
765441290,9
765441300,9
765441310,9
765441320,9
765441330,9
765441340,9
765441350,9
765441360,9
765441370,9
765441380,9
765441390,9
765441400,9
765441410,9
765441420,9
765441430,9
765441440,9
765441450,8
765441460,8
765441470,8
765441480,8
765441490,8
765441500,8
765441510,8
765441520,8
765441530,8
765441540,8
765441550,8
765441560,8
765441570,8
765441580,8
765441590,9
765441600,9
765441610,9
765441620,9
765441630,9
765441640,9
765441650,9
765441660,9
765441670,10
765441680,10
765441690,10
765441700,10
765441710,9
765441720,9
765441730,10
765441740,10
765441750,9
765441760,9
765441770,9
765441780,9
765441790,9
765441800,8
765441810,8
765441820,8
765441830,9
765441840,8
765441850,8
765441860,8
765441870,9
765441880,9
765441890,9
765441900,10
765441910,10
765441920,10
765441930,10
765441940,10
765441950,10
765441960,9
765441970,10
765441980,9
765441990,9
765442000,8
765442010,10
765442020,9
765442030,9
765442040,10
765442050,10
765442060,10
765442070,10
765442080,10
765442090,10
765442100,10
765442110,10
765442120,10
765442130,10
765442140,10
765442150,10
765442160,11
765442170,11
765442180,11
765442190,10
765442200,10
765442210,10
765442220,10
765442230,10
765442240,10
765442250,10
765442260,10
765442270,10
765442280,10
765442290,10
765442300,10
765442310,10
765442320,10
765442330,10
765442340,10
765442350,10
765442360,10
765442370,10
765442380,11
765442390,11
765442400,11
765442410,11
765442420,11
765442430,11
765442440,11
765442450,11
765442460,11
765442470,10
765442480,11
765442490,10
765442500,9
765442510,10
765442520,10
765442530,9
765442540,9
765442550,9
765442560,9
765442570,9
765442580,9
765442590,8
765442600,8
765442610,8
765442620,8
765442630,8
765442640,8
765442650,8
765442660,8
765442670,8
765442680,8
765442690,8
765442700,8
765442710,8
765442720,7
765442730,7
765442740,7
765442750,7
765442760,7
765442770,7
765442780,6
765442790,7
765442800,7
765442810,8
765442820,7
765442830,7
765442840,7
765442850,7
765442860,6
765442870,6
765442880,6
765442890,6
765442900,6
765442910,6
765442920,6
765442930,7
765442940,6
765442950,6
765442960,6
765442970,6
765442980,6
765442990,6
765443000,6
765443010,6
765443020,7
765443030,8
765443040,8
765443050,8
765443060,8
765443070,8
765443080,8
765443090,8
765443100,9
765443110,9
765443120,9
765443130,9
765443140,10
765443150,10
765443160,10
765443170,10
765443180,10
765443190,10
765443200,10
765443210,10
765443220,10
765443230,10
765443240,10
765443250,10
765443260,10
765443270,10
765443280,10
765443290,10
765443300,10
765443310,10
765443320,10
765443330,10
765443340,10
765443350,10
765443360,10
765443370,10
765443380,10
765443390,10
765443400,10
765443410,10
765443420,10
765443430,10
765443440,10
765443450,10
765443460,10
765443470,10
765443480,9
765443490,10
765443500,10
765443510,10
765443520,10
765443530,10
765443540,10
765443550,10
765443560,9
765443570,9
765443580,9
765443590,9
765443600,9
765443610,9
765443620,9
765443630,9
765443640,8
765443650,9
765443660,9
765443670,8
765443680,8
765443690,8
765443700,8
765443710,8
765443720,8
765443730,8
765443740,8
765443750,8
765443760,8
765443770,9
765443780,9
765443790,9
765443800,10
765443810,9
765443820,8
765443830,9
765443840,7
765443850,7
765443860,7
765443870,8
765443880,7
765443890,9
765443900,8
765443910,8
765443920,8
765443930,8
765443940,8
765443950,8
765443960,8
765443970,9
765443980,9
765443990,8
765444000,8
765444010,8
765444020,9
765444030,9
765444040,9
765444050,8
765444060,8
765444070,8
765444080,8
765444090,9
765444100,9
765444110,9
765444120,9
765444130,9
765444140,8
