Количество видимых спутников	Время, с	Кол-во
0	15
765386190,10
765386200,10
765386210,11
765386220,11
765386230,11
765386240,11
765386250,11
765386260,11
765386270,11
765386280,11
765386290,11
765386300,11
765386310,11
765386320,11
765386330,11
765386340,11
765386350,11
765386360,11
765386370,11
765386380,11
765386390,11
765386400,11
765386410,11
765386420,11
765386430,11
765386440,11
765386450,11
765386460,11
765386470,11
765386480,11
765386490,10
765386500,10
765386510,10
765386520,10
765386530,10
765386540,10
765386550,10
765386560,10
765386570,10
765386580,11
765386590,11
765386600,11
765386610,11
765386620,11
765386630,11
765386640,10
765386650,11
765386660,11
765386670,11
765386680,11
765386690,11
765386700,11
765386710,11
765386720,11
765386730,11
765386740,11
765386750,11
765386760,11
765386770,11
765386780,11
765386790,11
765386800,11
765386810,11
765386820,11
765386830,11
765386840,11
765386850,11
765386860,11
765386870,11
765386880,10
765386890,11
765386900,10
765386910,10
765386920,11
765386930,11
765386940,10
765386950,10
765386960,11
765386970,11
765386980,10
765386990,9
765387000,9
765387010,8
765387020,9
765387030,8
765387040,8
765387050,8
765387060,9
765387070,8
765387080,8
765387090,8
765387100,8
765387110,8
765387120,8
765387130,8
765387140,7
765387150,8
765387160,7
765387170,8
765387180,8
765387190,7
765387200,8
765387210,7
765387220,6
765387230,6
765387240,6
765387250,7
765387260,8
765387270,8
765387280,9
765387290,9
765387300,9
765387310,9
765387320,8
765387330,8
765387340,8
765387350,8
765387360,8
765387370,8
765387380,8
765387390,8
765387400,8
765387410,8
765387420,8
765387430,8
765387440,8
765387450,8
765387460,8
765387470,8
765387480,8
765387490,8
765387500,8
765387510,8
765387520,8
765387530,8
765387540,8
765387550,8
765387560,8
765387570,8
765387580,8
765387590,8
765387600,8
765387610,8
765387620,8
765387630,8
765387640,8
765387650,8
765387660,8
765387670,8
765387680,8
765387690,9
765387700,9
765387710,9
765387720,8
765387730,8
765387740,8
765387750,8
765387760,9
765387770,8
765387780,9
765387790,9
765387800,9
765387810,9
765387820,9
765387830,9
765387840,9
765387850,8
765387860,8
765387870,8
765387880,9
765387890,9
765387900,8
765387910,8
765387920,8
765387930,8
765387940,8
765387950,8
765387960,8
765387970,8
765387980,8
765387990,8
765388000,8
765388010,8
765388020,8
765388030,7
765388040,8
765388050,9
765388060,9
765388070,9
765388080,8
765388090,8
765388100,9
765388110,9
765388120,9
765388130,10
765388140,10
765388150,9
765388160,9
765388170,10
765388180,10
765388190,9
765388200,10
765388210,10
765388220,10
765388230,10
765388240,10
765388250,10
765388260,10
765388270,9
765388280,9
765388290,9
765388300,9
765388310,9
765388320,8
765388330,8
765388340,8
765388350,8
765388360,9
765388370,9
765388380,9
765388390,9
765388400,9
765388410,9
765388420,10
765388430,10
765388440,10
765388450,10
765388460,10
765388470,10
765388480,10
765388490,10
765388500,10
765388510,10
765388520,9
765388530,9
765388540,9
765388550,9
765388560,9
765388570,9
765388580,9
765388590,9
765388600,9
765388610,9
765388620,9
765388630,9
765388640,9
765388650,9
765388660,9
765388670,9
765388680,9
765388690,9
765388700,9
765388710,8
765388720,8
765388730,8
765388740,7
765388750,7
765388760,7
765388770,7
765388780,7
765388790,7
765388800,7
765388810,9
765388820,9
765388830,9
765388840,9
765388850,9
765388860,9
765388870,9
765388880,9
765388890,10
765388900,10
765388910,10
765388920,10
765388930,10
765388940,10
765388950,10
765388960,9
765388970,9
765388980,9
765388990,9
765389000,9
765389010,9
765389020,9
765389030,10
765389040,9
765389050,9
765389060,10
765389070,10
765389080,10
765389090,10
765389100,10
765389110,10
765389120,10
765389130,10
765389140,10
765389150,10
765389160,10
765389170,11
765389180,11
765389190,11
765389200,10
765389210,10
765389220,9
765389230,10
765389240,10
765389250,10
765389260,10
765389270,9
765389280,9
765389290,10
765389300,10
765389310,10
765389320,9
765389330,9
765389340,9
765389350,9
765389360,9
765389370,9
765389380,9
765389390,9
765389400,9
765389410,10
765389420,10
765389430,10
765389440,9
765389450,9
765389460,9
765389470,9
765389480,9
765389490,9
765389500,9
765389510,9
765389520,9
765389530,9
765389540,10
765389550,10
765389560,9
765389570,9
765389580,9
765389590,9
765389600,9
765389610,9
765389620,9
765389630,9
765389640,9
765389650,9
765389660,9
765389670,9
765389680,9
765389690,9
765389700,9
765389710,9
765389720,9
765389730,9
765389740,9
765389750,9
765389760,9
765389770,9
765389780,9
765389790,9
765389800,9
765389810,10
765389820,11
765389830,11
765389840,11
765389850,11
765389860,11
765389870,11
765389880,11
765389890,11
765389900,11
765389910,11
765389920,11
765389930,11
765389940,11
765389950,10
765389960,10
765389970,10
765389980,10
765389990,10
765390000,10
765390010,10
765390020,9
765390030,9
765390040,9
765390050,9
765390060,9
765390070,9
765390080,9
765390090,9
765390100,9
765390110,9
765390120,8
765390130,8
765390140,9
765390150,9
765390160,9
765390170,10
765390180,10
765390190,9
765390200,9
765390210,9
765390220,9
765390230,9
765390240,9
765390250,9
765390260,10
765390270,10
765390280,10
765390290,10
765390300,10
765390310,11
765390320,10
765390330,10
765390340,9
765390350,9
765390360,9
765390370,9
765390380,9
765390390,9
765390400,9
765390410,9
765390420,10
765390430,10
765390440,10
765390450,10
765390460,10
765390470,10
765390480,10
765390490,11
765390500,11
765390510,11
765390520,11
765390530,11
765390540,10
765390550,10
765390560,11
765390570,10
765390580,10
765390590,10
765390600,10
765390610,10
765390620,10
765390630,10
765390640,10
765390650,10
765390660,10
765390670,10
765390680,10
765390690,10
765390700,10
765390710,10
765390720,10
765390730,10
765390740,10
765390750,10
765390760,10
765390770,10
765390780,10
765390790,10
765390800,10
765390810,10
765390820,10
765390830,10
765390840,10
765390850,10
765390860,10
765390870,10
765390880,10
765390890,10
765390900,10
765390910,10
765390920,10
765390930,10
765390940,10
765390950,10
765390960,10
765390970,10
765390980,10
765390990,10
765391000,10
765391010,10
765391020,10
765391030,10
765391040,10
765391050,10
765391060,11
765391070,11
765391080,11
765391090,11
765391100,11
765391110,11
765391120,11
765391130,11
765391140,11
765391150,11
765391160,11
765391170,11
765391180,10
765391190,9
765391200,11
765391210,11
765391220,10
765391230,10
765391240,10
765391250,9
765391260,9
765391270,9
765391280,10
765391290,10
765391300,9
765391310,10
765391320,10
765391330,8
765391340,8
765391350,9
765391360,8
765391370,8
765391380,8
765391390,8
765391400,9
765391410,10
765391420,10
765391430,10
765391440,10
765391450,10
765391460,10
765391470,10
765391480,11
765391490,10
765391500,10
765391510,10
765391520,9
765391530,10
765391540,10
765391550,9
765391560,9
765391570,10
765391580,9
765391590,9
765391600,10
765391610,10
765391620,10
765391630,10
765391640,10
765391650,10
765391660,10
765391670,10
765391680,10
765391690,10
765391700,10
765391710,10
765391720,10
765391730,10
765391740,10
765391750,10
765391760,10
765391770,10
765391780,10
765391790,10
765391800,10
765391810,10
765391820,11
765391830,11
765391840,11
765391850,11
765391860,11
765391870,11
765391880,11
765391890,11
765391900,11
765391910,11
765391920,11
765391930,11
765391940,11
765391950,11
765391960,11
765391970,11
765391980,11
765391990,10
765392000,10
765392010,10
765392020,10
765392030,10
765392040,10
765392050,10
765392060,10
765392070,10
765392080,10
765392090,10
765392100,10
765392110,10
765392120,10
765392130,10
765392140,10
765392150,10
765392160,11
765392170,11
765392180,11
765392190,11
765392200,11
765392210,11
765392220,11
765392230,11
765392240,11
765392250,11
765392260,11
765392270,11
765392280,11
765392290,11
765392300,11
765392310,11
765392320,11
765392330,11
765392340,11
765392350,11
765392360,10
765392370,10
765392380,10
765392390,9
765392400,8
765392410,8
765392420,8
765392430,8
765392440,8
765392450,8
765392460,8
765392470,8
765392480,8
765392490,8
765392500,8
765392510,8
765392520,9
765392530,9
765392540,9
765392550,10
765392560,10
765392570,10
765392580,10
765392590,10
765392600,11
765392610,11
765392620,11
765392630,11
765392640,11
765392650,11
765392660,11
765392670,11
765392680,11
765392690,11
765392700,10
765392710,11
765392720,11
765392730,11
765392740,10
765392750,10
765392760,10
765392770,10
765392780,10
765392790,10
765392800,10
765392810,10
765392820,10
765392830,10
765392840,9
765392850,10
765392860,10
765392870,11
765392880,10
765392890,10
765392900,10
765392910,10
765392920,10
765392930,10
765392940,10
765392950,10
765392960,10
765392970,10
765392980,10
765392990,10
765393000,9
765393010,8
765393020,8
765393030,9
765393040,9
765393050,9
765393060,9
765393070,9
765393080,8
765393090,9
765393100,9
765393110,9
765393120,9
765393130,8
765393140,9
765393150,8
765393160,9
765393170,9
765393180,8
765393190,8
765393200,8
765393210,8
765393220,8
765393230,8
765393240,8
765393250,8
765393260,7
765393270,7
765393280,7
765393290,7
765393300,8
765393310,8
765393320,8
765393330,8
765393340,8
765393350,8
765393360,8
765393370,8
765393380,8
765393390,8
765393400,8
765393410,8
765393420,8
765393430,8
765393440,8
765393450,8
765393460,8
765393470,8
765393480,9
765393490,9
765393500,8
765393510,8
765393520,8
765393530,8
765393540,8
765393550,8
765393560,8
765393570,8
765393580,8
765393590,9
765393600,8
765393610,8
765393620,8
765393630,8
765393640,9
765393650,9
765393660,9
765393670,9
765393680,9
765393690,9
765393700,10
765393710,11
765393720,11
765393730,11
765393740,11
765393750,11
765393760,9
765393770,9
765393780,10
765393790,10
765393800,10
765393810,10
765393820,10
765393830,11
765393840,10
765393850,10
765393860,10
765393870,10
765393880,10
765393890,10
765393900,9
765393910,9
765393920,9
765393930,9
765393940,8
765393950,8
765393960,8
765393970,9
765393980,9
765393990,9
765394000,9
765394010,7
765394020,7
765394030,7
765394040,7
765394050,7
765394060,7
765394070,7
765394080,7
765394090,7
765394100,7
765394110,7
765394120,8
765394130,8
765394140,9
765394150,9
765394160,8
765394170,8
765394180,8
765394190,9
765394200,10
765394210,10
765394220,10
765394230,10
765394240,10
765394250,9
765394260,10
765394270,10
765394280,10
765394290,10
765394300,10
765394310,9
765394320,9
765394330,9
765394340,9
765394350,9
765394360,9
765394370,9
765394380,10
765394390,10
765394400,10
765394410,10
765394420,10
765394430,10
765394440,10
765394450,10
765394460,10
765394470,10
765394480,10
765394490,10
765394500,10
765394510,10
765394520,10
765394530,10
765394540,10
765394550,10
765394560,10
