Модуль ошибки
Время, с	Ошибка, м
732805990	26.5312
732806000	25.7933
732806010	25.4904
732806020	25.4814
732806030	25.1608
732806040	24.7543
732806050	24.1645
732806060	23.2214
732806070	22.8802
732806080	23.0491
732806090	22.8734
732806100	22.9067
732806110	22.2108
732806120	23.1547
732806130	22.307
732806140	19.6954
732806150	19.4494
732806160	18.9785
732806170	18.8408
732806180	18.2166
732806190	19.3086
732806200	18.792
732806210	18.5718
732806220	18.119
732806230	18.4321
732806240	18.0431
732806250	17.3152
732806260	17.438
732806270	17.2558
732806280	16.8713
732806290	15.8518
732806300	16.2427
732806310	13.5836
732806320	13.5178
732806330	12.9837
732806340	12.4159
732806350	12.1199
732806360	11.8666
732806370	11.5165
732806380	10.9177
732806390	10.8204
732806400	10.0269
732806410	9.46277
732806420	9.39557
732806430	10.2396
732806440	8.32549
732806450	8.33137
732806460	7.90368
732806470	7.59398
732806480	7.1972
732806490	6.99003
732806500	6.70306
732806510	6.06806
732806520	5.55979
732806530	4.84185
732806540	4.27053
732806550	3.84396
732806560	4.27481
732806570	3.74038
732806580	2.36562
732806590	2.6185
732806600	2.20976
732806610	0.473569
732806620	1.94865
732806630	1.04523
732806640	1.60338
732806650	2.66711
732806660	2.37196
732806670	2.57377
732806680	2.4531
732806690	3.83994
732806700	6.21222
732806710	4.92913
732806720	3.04979
732806730	3.51241
732806740	3.87458
732806750	4.19158
732806760	4.89256
732806770	4.71282
732806780	5.60388
732806790	5.77913
732806800	6.47791
732806810	6.65651
732806820	7.49487
732806830	7.37166
732806840	7.73025
732806850	8.39255
732806860	8.40735
732806870	9.15815
732806880	9.8636
732806890	9.72061
732806900	10.1853
732806910	10.4325
732806920	10.7313
732806930	11.4187
732806940	11.7484
732806950	12.1437
732806960	12.5202
732806970	12.7712
732806980	13.1373
732806990	13.5136
732807000	14.2237
732807010	14.5554
732807020	14.9792
732807030	15.8784
732807040	16.4449
732807050	17.5265
732807060	17.7898
732807070	17.7194
732807080	17.6925
732807090	17.5501
732807100	18.3269
732807110	18.5072
732807120	19.1785
732807130	20.0722
732807140	19.9967
732807150	20.4965
732807160	20.3297
732807170	20.823
732807180	20.9073
732807190	21.5676
732807200	21.7833
732807210	21.9172
732807220	22.8521
732807230	23.1793
732807240	23.5337
732807250	24.1471
732807260	24.9634
732807270	24.8117
732807280	25.168
732807290	24.5993
732807300	25.3272
732807310	25.7697
732807320	26.1198
732807330	26.3837
732807340	26.0255
732807350	26.1177
732807360	26.5801
732807370	26.3739
732807380	26.4948
732807390	26.7215
